"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Prisma", "SQL", "comment", "blank", "total"
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/creditCards/post-creditCard.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/get-ordersByUserId.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/patch-orderDeliveryDate.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/patch-orderSendDate.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/post-order.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-allProductsPaginated.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-latestProducts.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, -2, -5
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-productById.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-productsByCategoryPaginated.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-productsByUserId.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/patch-product.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/post-product.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/get-reviewsByProductId.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/get-reviewsByReviewer.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/get-reviewsByUserId.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/post-review.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-UserById.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-allUsers.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-userById.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, -2, -4
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-userByToken.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-userOrdersById.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, -2, -4
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/patch-user.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tiagosilva/Desktop/BackEndDealIt/src/index.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 8, 2, 43
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/addresses-repository.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 7, 78
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/categories-repository.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, -2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/completion-repository.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/creditCards-repository.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/orders-repository.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 6, 68
