"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Prisma", "SQL", "comment", "blank", "total"
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/patch-orderDeliveryDate.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/patch-orderSendDate.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/orders/post-order.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-allProductsPaginated.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-productById.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-productsByCategoryPaginated.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/get-productsByUserId.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/patch-product.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/products/post-product.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/get-reviewsByProductId.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/get-reviewsByReviewer.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/get-reviewsByUserId.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/reviews/post-review.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-UserById.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-allUsers.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/get-userByToken.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tiagosilva/Desktop/BackEndDealIt/src/domain/users/patch-user.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tiagosilva/Desktop/BackEndDealIt/src/index.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 8, 13, 96
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/addresses-repository.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 7, 78
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/categories-repository.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 5, 70
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/completion-repository.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/creditCards-repository.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/orders-repository.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 6, 68
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/products-repository.ts", "TypeScript", 166, 0, 0, 0, 0, 0, 3, 15, 184
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/reviews-repository.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 6, 107
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/users-repository.ts", "TypeScript", 182, 0, 0, 0, 0, 0, 1, 18, 201
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils/types.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 7, 81
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils/utils.ts", "TypeScript", 371, 0, 0, 0, 0, 0, 0, 12, 383
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils/verifyToken.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/tiagosilva/Desktop/BackEndDealIt/tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 0, 0, 0, 6, 18
"Total", "-", 4876, 12, 12379, 15, 94, 176, 73, 635, 18260
